user_id,citation_id
17a7019f-4eb1-40fb-8c66-e2953af5f4be,30fec4a7-a8f4-427c-bfd7-b75b501cf273
907f4be7-ac0e-480c-8e51-a99f52011653,30fec4a7-a8f4-427c-bfd7-b75b501cf273
17a7019f-4eb1-40fb-8c66-e2953af5f4be,cdf5f5f2-5af2-4bfa-8287-e3e0ce6b97e7
907f4be7-ac0e-480c-8e51-a99f52011653,cdf5f5f2-5af2-4bfa-8287-e3e0ce6b97e7
17a7019f-4eb1-40fb-8c66-e2953af5f4be,f04140a2-02f9-4dd3-8aaa-6d84f101bcf1
907f4be7-ac0e-480c-8e51-a99f52011653,f04140a2-02f9-4dd3-8aaa-6d84f101bcf1
17a7019f-4eb1-40fb-8c66-e2953af5f4be,dc398c74-7525-4243-bbc2-ae8fd8dc9c33
907f4be7-ac0e-480c-8e51-a99f52011653,dc398c74-7525-4243-bbc2-ae8fd8dc9c33
17a7019f-4eb1-40fb-8c66-e2953af5f4be,b38d864f-6b50-424b-b832-37522c2c702d
907f4be7-ac0e-480c-8e51-a99f52011653,b38d864f-6b50-424b-b832-37522c2c702d
17a7019f-4eb1-40fb-8c66-e2953af5f4be,bc002501-e109-475f-8261-a2579088fedb
907f4be7-ac0e-480c-8e51-a99f52011653,bc002501-e109-475f-8261-a2579088fedb
17a7019f-4eb1-40fb-8c66-e2953af5f4be,ea777d1f-210b-4ea2-b26b-a07304b55908
907f4be7-ac0e-480c-8e51-a99f52011653,ea777d1f-210b-4ea2-b26b-a07304b55908
17a7019f-4eb1-40fb-8c66-e2953af5f4be,c70cc8bf-9b31-4573-967f-afe6431e67b7
907f4be7-ac0e-480c-8e51-a99f52011653,c70cc8bf-9b31-4573-967f-afe6431e67b7
17a7019f-4eb1-40fb-8c66-e2953af5f4be,6da8d3fb-2f3f-41c1-a862-7e59a9d03edd
907f4be7-ac0e-480c-8e51-a99f52011653,6da8d3fb-2f3f-41c1-a862-7e59a9d03edd
17a7019f-4eb1-40fb-8c66-e2953af5f4be,e776c489-e05e-4c34-a291-85c2e2062885
907f4be7-ac0e-480c-8e51-a99f52011653,e776c489-e05e-4c34-a291-85c2e2062885
17a7019f-4eb1-40fb-8c66-e2953af5f4be,b7e11fbd-e8d3-4952-9542-010eafea197d
907f4be7-ac0e-480c-8e51-a99f52011653,b7e11fbd-e8d3-4952-9542-010eafea197d
17a7019f-4eb1-40fb-8c66-e2953af5f4be,52d2e910-a554-4d1d-baff-975db892244b
907f4be7-ac0e-480c-8e51-a99f52011653,52d2e910-a554-4d1d-baff-975db892244b
17a7019f-4eb1-40fb-8c66-e2953af5f4be,c5eff4de-c6d0-4ced-8f04-a6d70b4a8ef8
907f4be7-ac0e-480c-8e51-a99f52011653,c5eff4de-c6d0-4ced-8f04-a6d70b4a8ef8
17a7019f-4eb1-40fb-8c66-e2953af5f4be,99fa2c65-cae4-419f-b187-21bb799ed2b6
907f4be7-ac0e-480c-8e51-a99f52011653,99fa2c65-cae4-419f-b187-21bb799ed2b6
17a7019f-4eb1-40fb-8c66-e2953af5f4be,970c8fbe-5305-443d-99b1-a97cd31a8987
907f4be7-ac0e-480c-8e51-a99f52011653,970c8fbe-5305-443d-99b1-a97cd31a8987
17a7019f-4eb1-40fb-8c66-e2953af5f4be,913e7685-37dd-4677-b534-35d848bb6d4e
907f4be7-ac0e-480c-8e51-a99f52011653,913e7685-37dd-4677-b534-35d848bb6d4e
17a7019f-4eb1-40fb-8c66-e2953af5f4be,752f2cad-ee1a-4930-914c-77c9ac5b31ac
907f4be7-ac0e-480c-8e51-a99f52011653,752f2cad-ee1a-4930-914c-77c9ac5b31ac
17a7019f-4eb1-40fb-8c66-e2953af5f4be,0790693b-0af1-4d41-9851-a8ad64c0f4d7
907f4be7-ac0e-480c-8e51-a99f52011653,0790693b-0af1-4d41-9851-a8ad64c0f4d7
17a7019f-4eb1-40fb-8c66-e2953af5f4be,a7aac98b-bcf8-4d7e-9753-7268df558cae
907f4be7-ac0e-480c-8e51-a99f52011653,a7aac98b-bcf8-4d7e-9753-7268df558cae
17a7019f-4eb1-40fb-8c66-e2953af5f4be,3ec798e1-35b3-4107-8e27-92a1a40283b5
907f4be7-ac0e-480c-8e51-a99f52011653,3ec798e1-35b3-4107-8e27-92a1a40283b5
17a7019f-4eb1-40fb-8c66-e2953af5f4be,91c6b4bb-7373-4f57-9816-0ce88064e23b
907f4be7-ac0e-480c-8e51-a99f52011653,91c6b4bb-7373-4f57-9816-0ce88064e23b
17a7019f-4eb1-40fb-8c66-e2953af5f4be,5eda4735-5ee8-44d5-8920-0bf3e2ebf85b
907f4be7-ac0e-480c-8e51-a99f52011653,5eda4735-5ee8-44d5-8920-0bf3e2ebf85b
17a7019f-4eb1-40fb-8c66-e2953af5f4be,23ffc72c-ebfe-4e6f-bde7-136856c8d839
907f4be7-ac0e-480c-8e51-a99f52011653,23ffc72c-ebfe-4e6f-bde7-136856c8d839
17a7019f-4eb1-40fb-8c66-e2953af5f4be,e4c54fd2-795d-4078-b7a0-4f6a51ebf971
907f4be7-ac0e-480c-8e51-a99f52011653,e4c54fd2-795d-4078-b7a0-4f6a51ebf971
17a7019f-4eb1-40fb-8c66-e2953af5f4be,f2aab3a8-b0d0-4b33-b417-492764cdf193
907f4be7-ac0e-480c-8e51-a99f52011653,f2aab3a8-b0d0-4b33-b417-492764cdf193
